pooled_commodity,group_for_pairing,ISSCAAP_group,ISSCAAP_division
Crabs,"Crabs, sea-spiders","Crabs, sea-spiders",CRUSTACEANS
Edible crab (Cancer pagurus),"Crabs, sea-spiders","Crabs, sea-spiders",CRUSTACEANS
Tanner crab,"Crabs, sea-spiders","Crabs, sea-spiders",CRUSTACEANS
King crabs,"Crabs, sea-spiders","King crabs, squat-lobsters",CRUSTACEANS
Squat-lobsters,"Crabs, sea-spiders","King crabs, squat-lobsters",CRUSTACEANS
Crayfish (freshwater),Freshwater crustaceans,Freshwater crustaceans,CRUSTACEANS
Freshwater crustaceans,Freshwater crustaceans,Freshwater crustaceans,CRUSTACEANS
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",CRUSTACEANS
Lobsters,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",CRUSTACEANS
Norway lobsters (Nephrops spp.),"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",CRUSTACEANS
"Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus)","Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",CRUSTACEANS
Rock lobsters (Jasus spp.),"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",CRUSTACEANS
Spiny lobsters (Panulirus spp.),"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",CRUSTACEANS
Krill,Miscellaneous marine crustaceans,"Krill, planktonic crustaceans",CRUSTACEANS
Crustaceans,Miscellaneous marine crustaceans,Miscellaneous marine crustaceans,CRUSTACEANS
Crustaceans and molluscs,Miscellaneous marine crustaceans,Miscellaneous marine crustaceans,CRUSTACEANS
Common (=Crangon) shrimp,"Shrimps, prawns","Shrimps, prawns",CRUSTACEANS
Deepwater rose shrimps (Parapenaeus longirostris),"Shrimps, prawns","Shrimps, prawns",CRUSTACEANS
Shrimps,"Shrimps, prawns","Shrimps, prawns",CRUSTACEANS
Shrimps and prawns,"Shrimps, prawns","Shrimps, prawns",CRUSTACEANS
Shrimps and prawns (Pandalidae spp.),"Shrimps, prawns","Shrimps, prawns",CRUSTACEANS
Shrimps and prawns (Penaeus spp.),"Shrimps, prawns","Shrimps, prawns",CRUSTACEANS
Barramundi,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,DIADROMOUS FISHES
Milkfish,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,DIADROMOUS FISHES
Misc. diadromous fishes,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,DIADROMOUS FISHES
Eels,River eels,River eels,DIADROMOUS FISHES
Eels and elvers,River eels,River eels,DIADROMOUS FISHES
River eels,River eels,River eels,DIADROMOUS FISHES
Atlantic and Danube salmons,"Salmons, trouts, smelts","Salmons, trouts, smelts",DIADROMOUS FISHES
Chum salmon,"Salmons, trouts, smelts","Salmons, trouts, smelts",DIADROMOUS FISHES
Coho salmon,"Salmons, trouts, smelts","Salmons, trouts, smelts",DIADROMOUS FISHES
Pacific salmon,"Salmons, trouts, smelts","Salmons, trouts, smelts",DIADROMOUS FISHES
Pink salmon,"Salmons, trouts, smelts","Salmons, trouts, smelts",DIADROMOUS FISHES
Salmon,"Salmons, trouts, smelts","Salmons, trouts, smelts",DIADROMOUS FISHES
Salmonoids,"Salmons, trouts, smelts","Salmons, trouts, smelts",DIADROMOUS FISHES
Smelts,"Salmons, trouts, smelts","Salmons, trouts, smelts",DIADROMOUS FISHES
Sockeye salmon (red salmon)(Oncorhynchus nerka),"Salmons, trouts, smelts","Salmons, trouts, smelts",DIADROMOUS FISHES
Trouts,"Salmons, trouts, smelts","Salmons, trouts, smelts",DIADROMOUS FISHES
Trouts and chars,"Salmons, trouts, smelts","Salmons, trouts, smelts",DIADROMOUS FISHES
