ASFIS_species,scientific_name,pooled_commodity,ISSCAAP_group,ISSCAAP_division,exvessel_estimated
Atlantic rock crab,Cancer irroratus,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Batwing coral crab,Carpilius corallinus,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Black stone crab,Menippe mercenaria,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Blue crab,Callinectes sapidus,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Blue swimming crab,Portunus pelagicus,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Chaceon geryons nei,Chaceon spp,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Charybdis crabs nei,Charybdis spp,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Dana swimcrab,Callinectes danae,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Deep-sea red crab,Chaceon affinis,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Dungeness crab,Cancer magister,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Gazami crab,Portunus trituberculatus,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Giant stone crab,Homalaspis plana,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Golden deepsea crab,Chaceon fenneri,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Green crab,Carcinus maenas,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Hair crab,Erimacrus isenbeckii,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Harbour spidercrab,Mithrax armatus,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Henslow’s swimming crab,Polybius henslowii,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Indo-Pacific swamp crab,Scylla serrata,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Jonah crab,Cancer borealis,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Mangrove ghost crab,Ucides occidentalis,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Marine crabs nei,Brachyura,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Mediterranean geryon,Geryon longipes,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Mediterranean shore crab,Carcinus aestuarii,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Mola rock crab,Cancer edwardsii,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Pacific rock crab,Cancer productus,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Portly spider crab,Libinia emarginata,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Portunus swimcrabs nei,Portunus spp,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Queen crab,Chionoecetes opilio,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Red crab,Chaceon quinquedens,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Red snow crab,Chionoecetes japonicus,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Southwest Atlantic red crab,Chaceon notialis,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Spinous spider crab,Maja squinado,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Velvet swimcrab,Necora puber,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
West African geryon,Chaceon maritae,Crabs,"Crabs, sea-spiders",CRUSTACEANS,1
Edible crab,Cancer pagurus,Edible crab (Cancer pagurus),"Crabs, sea-spiders",CRUSTACEANS,1
Tanner crab,Chionoecetes bairdi,Tanner crab,"Crabs, sea-spiders",CRUSTACEANS,1
Tanner crabs nei,Chionoecetes spp,Tanner crab,"Crabs, sea-spiders",CRUSTACEANS,1
Australian crayfish,Euastacus armatus,Crayfish (freshwater),Freshwater crustaceans,CRUSTACEANS,1
Danube crayfish,Astacus leptodactylus,Crayfish (freshwater),Freshwater crustaceans,CRUSTACEANS,1
Euro-American crayfishes nei,"Astacidae, Cambaridae",Crayfish (freshwater),Freshwater crustaceans,CRUSTACEANS,1
Noble crayfish,Astacus astacus,Crayfish (freshwater),Freshwater crustaceans,CRUSTACEANS,1
Oceanian crayfishes nei,Parastacidae,Crayfish (freshwater),Freshwater crustaceans,CRUSTACEANS,1
Red claw crayfish,Cherax quadricarinatus,Crayfish (freshwater),Freshwater crustaceans,CRUSTACEANS,1
