FAO_commodity,pooled_commodity,ISSCAAP_division,ISSCAAP_group,group_for_pairing,exvessel_estimated
"Crab meat frozen, prepared or preserved",Crabs,CRUSTACEANS,"Crabs, sea-spiders","Crabs, sea-spiders",1
"Crab meat nei, prepared or preserved",Crabs,CRUSTACEANS,"Crabs, sea-spiders","Crabs, sea-spiders",1
"Crab meat, frozen",Crabs,CRUSTACEANS,"Crabs, sea-spiders","Crabs, sea-spiders",1
"Crab meat, in airtight containers, prep.or pres.",Crabs,CRUSTACEANS,"Crabs, sea-spiders","Crabs, sea-spiders",1
"Crabs nei, frozen",Crabs,CRUSTACEANS,"Crabs, sea-spiders","Crabs, sea-spiders",1
"Crabs, dried, salted or in brine, nei",Crabs,CRUSTACEANS,"Crabs, sea-spiders","Crabs, sea-spiders",1
"Crabs, live",Crabs,CRUSTACEANS,"Crabs, sea-spiders","Crabs, sea-spiders",1
"Crabs, not frozen",Crabs,CRUSTACEANS,"Crabs, sea-spiders","Crabs, sea-spiders",1
"Crabs, peeled or not, fresh or chilled",Crabs,CRUSTACEANS,"Crabs, sea-spiders","Crabs, sea-spiders",1
"Crabs, peeled or not, fresh or chilled, nei",Crabs,CRUSTACEANS,"Crabs, sea-spiders","Crabs, sea-spiders",1
"Crab (Cancer pagurus), frozen",Edible crab (Cancer pagurus),CRUSTACEANS,"Crabs, sea-spiders","Crabs, sea-spiders",1
"Edible crab (Cancer pagurus), not frozen",Edible crab (Cancer pagurus),CRUSTACEANS,"Crabs, sea-spiders","Crabs, sea-spiders",1
"Tanner crab meat, prepared or preserved",Tanner crab,CRUSTACEANS,"Crabs, sea-spiders","Crabs, sea-spiders",1
"Tanner crab, nei, frozen",Tanner crab,CRUSTACEANS,"Crabs, sea-spiders","Crabs, sea-spiders",1
"King crab meat, frozen",King crabs,CRUSTACEANS,"King crabs, squat-lobsters","Crabs, sea-spiders",1
"King crab meat, prepared or preserved",King crabs,CRUSTACEANS,"King crabs, squat-lobsters","Crabs, sea-spiders",1
"King crab, nei, frozen",King crabs,CRUSTACEANS,"King crabs, squat-lobsters","Crabs, sea-spiders",1
"King crabs, not frozen",King crabs,CRUSTACEANS,"King crabs, squat-lobsters","Crabs, sea-spiders",1
"Squat-lobsters nei, frozen",Squat-lobsters,CRUSTACEANS,"King crabs, squat-lobsters","Crabs, sea-spiders",1
"Crayfish (freshwater), fresh or chilled",Crayfish (freshwater),CRUSTACEANS,Freshwater crustaceans,Freshwater crustaceans,1
"Crayfish (freshwater), frozen",Crayfish (freshwater),CRUSTACEANS,Freshwater crustaceans,Freshwater crustaceans,1
"Crayfish (freshwater), not frozen",Crayfish (freshwater),CRUSTACEANS,Freshwater crustaceans,Freshwater crustaceans,1
"Crayfish (freshwater), prepared or preserved",Crayfish (freshwater),CRUSTACEANS,Freshwater crustaceans,Freshwater crustaceans,1
"Freshwater crustaceans nei, frozen",Freshwater crustaceans,CRUSTACEANS,Freshwater crustaceans,Freshwater crustaceans,1
"Freshwater crustaceans nei, live, fresh or chilled",Freshwater crustaceans,CRUSTACEANS,Freshwater crustaceans,Freshwater crustaceans,1
