FAO_commodity,assingment
"Crab meat frozen, prepared or preserved",unsure
"Crab meat nei, prepared or preserved",unsure
"Crab meat, frozen",low
"Crab meat, in airtight containers, prep.or pres.",unsure
"Crabs nei, frozen",low
"Crabs, dried, salted or in brine, nei",unsure
"Crabs, live",unsure
"Crabs, not frozen",unsure
"Crabs, peeled or not, fresh or chilled",low
"Crabs, peeled or not, fresh or chilled, nei",low
"Crab (Cancer pagurus), frozen",low
"Edible crab (Cancer pagurus), not frozen",unsure
"Tanner crab meat, prepared or preserved",unsure
"Tanner crab, nei, frozen",low
"King crab meat, frozen",low
"King crab meat, prepared or preserved",unsure
"King crab, nei, frozen",low
"King crabs, not frozen",unsure
"Squat-lobsters nei, frozen",low
"Crayfish (freshwater), fresh or chilled",low
"Crayfish (freshwater), frozen",low
"Crayfish (freshwater), not frozen",unsure
"Crayfish (freshwater), prepared or preserved",unsure
"Freshwater crustaceans nei, frozen",low
"Freshwater crustaceans nei, live, fresh or chilled",low
"Freshwater shrimps and prawns, frozen",low
"American/European lobsters (Homarus spp.), meat or tails, fresh or chilled",low
"American/European lobsters (Homarus spp.), meat or tails, frozen",low
"American/European lobsters (Homarus spp.), nei, fresh or chilled",low
"American/European lobsters (Homarus spp.), nei, frozen",low
"American/European lobsters (Homarus spp.), not frozen",unsure
"American/European lobsters (Homarus spp.), whole, fresh or chilled",low
"American/European lobsters (Homarus spp.), whole, frozen",low
"Lobsters (Homarus spp.), not frozen",unsure
"Lobster tails or meat, prep. or pres.",unsure
"Lobsters nei, fresh or chilled",low
"Lobsters nei, frozen",low
"Lobsters nei, meat or tails, frozen",low
"Lobsters nei, whole, fresh or chilled",low
"Lobsters nei, whole, frozen",low
"Lobsters, dried, salted or in brine, nei",unsure
"Lobsters, live",unsure
"Norway lobsters (Nephrops spp.), meat or tails, fresh or chilled",low
"Norway lobsters (Nephrops spp.), nei, fresh or chilled",low
"Norway lobsters (Nephrops spp.), nei, frozen",low
"Norway lobsters (Nephrops spp.), nei, not frozen",unsure
"Norway lobsters (Nephrops spp.), whole, fresh or chilled",low
"Norway lobsters (Nephrops spp.), whole, frozen",low
"Rock lobster & other sea crawfish (Palinurus, Panulirus, Jasus), meat or tails, frozen",low
"Rock lobster & other sea crawfish (Palinurus,Panulirus,Jasus), fresh or chilled, nei",low
"Rock lobster & other sea crawfish (Palinurus,Panulirus,Jasus), whole, fresh or chilled",low
"Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus), frozen, nei",low
"Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus), whole, frozen",low
"Rock lobster and other sea crawfish, not frozen",unsure
"Spiny-rock lobster, prepared or preserved",unsure
"Rock lobsters (Jasus spp.), meat or tails, fresh or chilled",low
"Rock lobsters (Jasus spp.), meat or tails, frozen",low
"Rock lobsters (Jasus spp.), nei, fresh or chilled",low
"Rock lobsters (Jasus spp.), nei, frozen",low
"Rock lobsters (Jasus spp.), whole, fresh or chilled",low
"Rock lobsters (Jasus spp.), whole, frozen",low
"Spiny lobsters (Panulirus spp.), meat or tails, fresh or chilled",low
"Spiny lobsters (Panulirus spp.), meat or tails, frozen",low
"Spiny lobsters (Panulirus spp.), nei, fresh or chilled",low
"Spiny lobsters (Panulirus spp.), nei, frozen",low
"Spiny lobsters (Panulirus spp.), whole, fresh or chilled",low
"Spiny lobsters (Panulirus spp.), whole, frozen",low
"Krill, etc. frozen",low
"Crustacean meal, nei",high
Crustacean preparations incl. paste,high
"Crustaceans live, for breeding and other purposes, nei",unsure
"Crustaceans live, for human consumption, nei",unsure
"Crustaceans nei, dried, salted or in brine",unsure
"Crustaceans nei, frozen",low
"Crustaceans nei, prepared or preserved",unsure
"Crustaceans, fresh, chilled or boiled in water, nei",unsure
"Crustacean and mollusc preparations, not in airtight containers",unsure
Crustaceans & molluscs unfit for human consumption,unsure
